asn_number,asn_name,
AS14767,'Iolani SchoolAS14767,
AS262865,(DELTA TELECOM INTERNET) Anjos Inform’çtica Ltda,
AS9116,012 Smile Communications LTD.,
AS1680,013 NetVision Ltd,
AS18548,"1 800 Video On, Inc.",
AS40028,1651884 Ontario Inc.,
AS27310,180Servers.com,
AS35236,2 connect a.s.,
AS13082,2DAY Telecom LLP,
AS35566,2DAY Telecom LLP,
AS52858,A & G Servi’_os em TI,
AS264273,A & G TELECOMUNICA’ö’«ES LTDA EPP,
AS16305,A1 Telekom Austria AG,
AS15496,Aalto University,
AS15908,"AB ""Ukio bankas""",
AS15995,AB SEB bankas,
AS199673,ABC Domain LLC,
AS13169,ABN AMRO Bank N.V.,
AS50292,Access UK Ltd,
AS62445,ADA VOICE SRL,
AS204053,ADESTIS IT-Service GmbH,
AS57464,ADI COM SOFT SRL,
AS16547,African Network Information Center,
AS13137,AGENCIA EFE SA,
AS12587,Aizkraukles Banka AS,
AS12764,AKNET Ltd.,
AS16009,Alcyonis Global Internet,
AS8360,Allianz Managed Operations & Services SE,
AS9128,Alpha Bank SA,
AS40993,AltairTula-AS,
AS263266,AMARO & AMARO COMUNICAO LTDA - ME,
AS3264,American University in Bulgaria,
AS264106,ANDRADE & LANDIM TELECOMUNICACOES LTDA,
AS20712,Andrews & Arnold Ltd,
AS60672,"ANO VPO ""Russian Intrepreneur Academy""",
AS58811,AP-CONAC-AS-AP,
AS58448,AP-CONAC-AS-AP,
AS58536,AP-CONAC-AS-AP,
AS5403,APA-IT Informations Technologie G.m.b.H,
AS61767,AQUINO & SILVA COM SERV DE INFOR LTDA ME,
AS12870,Arrowhead Systems Ltd,
AS33873,arvato systems GmbH,
AS8728,AS INFONET,
AS64718,AS11967,
AS132088,AS16206,ABRARED
AS65002,AS23097,
AS64516,AS32151,
AS65308,AS32422,
AS65037,AS54022,
AS17045,AS63120,
AS9244,ASN-DYXNET-TW-AP,
AS35363,ASSOCIATION POUR LE DEVELOPPEMENT DES ENTREPRISES ET DES COMPETENCES (ADEC),
AS13005,Atlas Business Group Ltd,
AS8971,ATOS IT Solutions and Services GmbH,
AS8553,Avensys Networks Ltd,
AS16267,AZ Medien Gruppe (Holding) ENTERPRISE,
AS17116,B & H Foto & Electronics Corp.AS17116,
AS12465,Banca di Intermediazione Mobiliare IMI S.p.A.,
AS13018,Banca Monte Dei Paschi Di Siena S.P.A.,
AS15607,BANCACARIGESpA,
AS15439,Bank EFG Eurobank Ergasias SA,
AS15661,Bank J. Safra Sarasin AG,
AS12776,Bank Vontobel AG,
AS16193,BankService AD,
AS20501,BANQUE DE LUXEMBOURG SA,
AS12649,Banque Pictet & Cie SA,
AS15601,Baring Investment Services Ltd,
AS36589,BARNES & NOBLE COLLEGE BOOKSELLERSAS36589,
AS33213,BASIN 2 WAY RADIO,
AS13043,Bayer Business Services GmbH,
AS8590,Bayerische Motoren Werke Aktiengesellschaft,
AS29605,BCS TECHNOLOGIES SAS,
AS8203,Bezeq International-Ltd,
AS15993,BG BNP Paribas Spolka Akcyjna,
AS61667,BISCHOFF & SILVA LTDA,
AS13292,BK-DAT Electronics e.U.,
AS21107,Blicnet d.o.o.,
AS44134,Bolignet A/S,
AS39090,Brandl Services GmbH,
AS15914,British Airways plc,
AS21484,BT Global Services Luxembourg S.a.r.l,
AS15410,BT Limited Magyarorszagi Fioktelepe,
AS63120,"C & J Clark America, Inc.",
AS53083,C & M Software Ltda.,
AS18808,"CENTURY 21 DEPARTMENT STORES, LLC",
AS9178,Chattr Ltd,
AS12226,CIBC / INTRIA-HP,
AS5397,CINECA CONSORZIO INTERUNIVERSITARIO,
AS25520,"CJSC ""Futures Telecom""",
AS21434,Clariant International Ltd.,
AS20745,CNIT Italian National Consortium for Telecommunications,
AS15839,Cobweb Solutions Ltd,
AS263206,COFARMEN (COOPERATIVA FARMACEUTICA MENDOZA),
AS23097,"COHEN & STEERS CAPITAL MGMT., INC.",
AS24711,Collecte Localisation Satellites SA,
AS33978,Collective Production Enterprise Yapic.Net,
AS15404,COLT Technology Services Group Limited,
AS48886,Communications Security Net B.V.,
AS12536,Console Technology Services Ltd,
AS12303,Council of Hungarian Internet Providers,
AS15550,Count+Care GmbH & Co. KG,
AS61094,CRATIS d.o.o.,
AS9159,Credit Agricole S.A.,
AS8729,Credit Suisse Group,
AS5624,CSC Danmark A/S,
AS12807,CVF S.A,
AS264432,D & D INFORM’ÅTICA LTDA,
AS5482,Daisy Communications Ltd,
AS5413,Daisy Communications Ltd,
AS28955,Danske Bank A/S Estonia branch,
AS24611,Datacenter Luxembourg S.A.,
AS44964,DATAPLANET Ltd.,
AS15544,Dataways Hellas A.E.,
AS15451,DATEV eG,
AS21096,Department of Support of State Service of Special Communication and Information Protection of Ukraine,
AS12291,Deutsche Post AG,
AS16108,Deutsches Institut fuer Normung e.V.,
AS13192,dFactory Sarl.,
AS15793,DGC Access AB,
AS34970,DIATEM SARL,
AS15429,Digex UKAS54673,
AS48299,Digita Oy,
AS12607,Digital Bros. S.p.A.,
AS12789,DMG Media Limited,
AS53985,DODGE & COXAS53985,
AS23602,DTAC-CRIE-AS-AP,
AS265140,DUPONT & SCHWANKE LTDA,
AS40999,dus.net GmbH,
AS12691,DVNZ Donetsk State Technical University,
AS50994,e-SBL.net Sp. z o.o.,
AS39032,East Telecom,
AS135369,EBDC-AS-AP,
AS26382,EDUCATION 2020,
AS39632,EESTIPANK,
AS131467,EGNC-AS,
AS202058,Ekaterinburg-2000 LLC,
AS43764,Electron-Service LTD,
AS61337,Electronic Communities Ltd,
AS57794,ELLINIKA DIKTIA KALODION MEPE,
AS132310,EMCM-AS-AP,
AS15698,EnBW Systeme Infrastruktur Support GmbH,
AS12373,ENGITEL S.p.A.,
AS8290,"Entry Net, s.r.o.",
AS57459,Euroanswer Outsourcing SRL,
AS20483,EUROCOM Ltd.,
AS20624,Euronet Services Kft,
AS15430,European Dynamics S.A.,
AS15829,EUTELSAT S.A.,
AS13243,EVRY AS,
AS20974,EWE TEL GmbH,
AS41903,EXO-BIT Zrt.,
AS41852,ExpertNet SRL,
AS203893,Express Retail LLC,
AS30827,Extraordinary Managed Services Ltd,
AS393420,EZVERIFY & VALIDATE LLCAS393420,
AS264070,FARIA & SCHIMITH LTDA - ME,
AS15406,Fatih Universitesi,
AS6801,Federal State Institution Russian Scientific Center Kurchatovsky institute,
AS63294,"Fevvo, Inc",
AS51792,FIRMA HANDLOWA GIGA ARKADIUSZ KOCMA,
AS51380,FOP Kovalchuk Igor Vasilevich,
AS8294,Fornax ZRt.,
AS15843,Galatasaray Universitesi,
AS40210,GALLAGHER & KENNEDY P.A.AS40210AS12190,
AS62782,Gazelle Communications Corp.,
AS20576,Gazsvyaz Ltd.,
AS12345,General Software s.r.l.,
AS37173,GETESA (Orange Equatorial Guinea),
AS16144,GFT ITALIA S.R.L.,
AS17564,GITN-PCN-AS-AP,
AS12615,Global Communication Net Plc,
AS49800,GNC-Alfa CJSC,
AS2842,Goteborgs universitet,
AS264433,GUEDES & LOPES COM. INF. LTDA ME,
AS29017,Gyron Internet Ltd,
AS52540,H & F Solu’_’µes Tecnol’_gicas LTDA - EPP,
AS26963,H & M Systems SoftwaAS26963AS20441,
AS52297,HAICOM (Haiti Communications,
AS49010,Herning Kommune,
AS6900,Hewlett Packard GmbH,
AS20441,"HGS (USA), LLC",
AS16097,HL komm Telekommunikations GmbH,
AS52642,HOFFMANN & HOFFMANN LTDA - ME,
AS12763,Honda Europe NV,
AS20738,Host Europe GmbH,
AS48823,Hosting.de GmbH,
AS198171,HOSTING90 systems s.r.o.,
AS6794,HRT - Croatian Radio Television,
AS60601,HSYS SAS,
AS8721,Hurriyet Gazetecilik & Matbacilik A.S.,
AS38554,ICL-TH-AS-AP,
AS49126,IHS Telekomunikasyon Ltd,
AS12480,ILK Internet.Gmbh,
AS20246,IMS (Investment Management Services)AS20246,
AS56654,Infinity Telecom SRL,
AS57594,INFO-NET Ewa Sobolewska-Gryniewicz,
AS49171,INFONET-SERVIS LTD,
AS21336,INFORENT GmbH,
AS20777,Infoserv-Riga Ltd,
AS8506,Institution of Russian Science Academy of Irkutsk Scientific Centre of Siberian Department of RAN,
AS13134,"Instituto de Informatica, IP - Ministerio da Solidariedade e Seguranca Social",
AS57858,Inter Connects Inc,
AS34601,Intercom Factory S.L.,
AS40977,Intercom LLC,
AS44424,"Internet Mall, a.s.",
AS34609,Internet Master Co. Ltd,
AS8928,Interoute Communications Limited,
AS8369,Intersvyaz-2 JSC,
AS34323,IP Com Ltd,
AS59428,IpNetcom LLC,
AS29572,IPport ZAO,
AS9095,Istanbul Teknik Universitesi,
AS24455,ITONEcslox-AS-TH,
AS262537,J & J Santos Inform’çtica LTDA,
AS53944,J & J TelecommunicationsAS53944AS13633,
