Site,Status,Country,State,City,Host,In service,Retired,Machine IPv4 prefix,Uplink IPv4 prefix,Machine IPv6 prefix,Type of IPv6 connectivity,Transit provider,Region,Site
ACC01,retired,GH,,Accra,Ghana IXP,2014-12-03,2015-08-01,196.201.2.192/26,,,,Ghana IXP,Africa,ACC01
ACC02,in service,GH,,Accra,Ghana IXP,2014-11-17,,196.49.14.192/26,,,,Ghana IXP,Africa,ACC02
AKL01,in service,NZ,,Auckland,REANNZ,2013-01-02,,163.7.129.0/26,,2404:138:4009::/64,native,REANNZ,Oceania,AKL01
AMS01,in service,NL,,Amsterdam,Google (L3),2009-07-09,,213.244.128.128/26,,2001:4C08:2003:2::/64 ,native,Level3,Europe,AMS01
AMS02,in service,NL,,Amsterdam,"Internap (Voxel.Net, Inc.)",2009-07-23,,72.26.217.64/26,,2001:48c8:7::/64,,Internap / Voxel,Europe,AMS02
AMS03,in service,NL,,Amsterdam,Google,2017-07-06,,80.239.169.0/26,,2001:2030:32::/48,,Telia,Europe,AMS03
AMS04,in service,NL,,Amsterdam,Google,2017-07-06,,77.67.114.64/26,,2001:0668:001F:005F::/64,,GTT,Europe,AMS04
AMS05,in service,NL,,Amsterdam,Google,2017-11-29,,195.89.145.0/26,,2001:5002:100:21::/64,,Vodafone,Europe,AMS05
AMS06,in service,NL,,Amsterdam,Leaseweb,2017-12-04,,212.32.246.192/26,,2001:1af8:4900:B070::1,,Leaseweb,Europe,AMS06
AMS07,install in progress,NL,,Amsterdam,INAP,,,31.186.242.0/26,,2a02:b50:4020:cfb1::/64,,Internap,Europe,AMS07
ARN01,retired,SE,,Stockholm,Google,,2017-10-31,213.248.112.64/26,,2001:2030:0000:001B::/64,native,Telia,Europe,ARN01
ARN02,in service,SE,,Stockholm,Google,2017-07-25,,195.89.146.192/26,,2001:5012:100:24::/64,,Vodafone,Europe,ARN02
ARN03,in service,SE,,Stockholm,Google,2017-10-19,,213.242.86.64/26,,2001:4c08:2003:44::/64,,Level3,Europe,ARN03
ARN04,in service,SE,,Stockholm,Google,2017-10-19,,62.115.225.128/26,,2001:2030:0:38::/64,,Telia,Europe,ARN04
ARN05,in service,SE,,Stockholm,Google,2017-07-27,,77.67.119.64/26,,2001:668:1f:6a::/64,,GTT,Europe,ARN05
ATH01,retired,GR,,Athens,EETT/GRnet,2009-08-10,2016-07-06,83.212.4.0/26,,2001:648:2ffc:2101::/64,native,GRNET,Europe,ATH01
