Site,Country,State,City,Host,In service,Retired,Machine IPv4 prefix,Machine IPv6 prefix,Type of IPv6 connectivity,Transit provider,Region,Site
ACC01,GH,,Accra,Ghana IXP,12/3/2014,8/1/2015,196.201.2.192/26,,,Ghana IXP,Africa,ACC01
ACC02,GH,,Accra,Ghana IXP,11/17/2014,,196.49.14.192/26,,,Ghana IXP,Africa,ACC02
AKL01,NZ,,Auckland,REANNZ,1/2/2013,,163.7.129.0/26,2404:138:4009::/64,native,REANNZ,Oceania,AKL01
AMS01,NL,,Amsterdam,Google,07/09/09,,213.244.128.128/26,2001:4C08:2003:2::/64 ,native,Level3,Europe,AMS01
AMS02,NL,,Amsterdam,"Internap (Voxel.Net, Inc.)",07/23/09,,72.26.217.64/26,2001:48c8:7::/64,,Voxel,Europe,AMS02
ARN01,SE,,Stockholm,Google,,,213.248.112.64/26,2001:2030:0000:001B::/64,native,Telia,Europe,ARN01
ATH01,GR,,Athens,EETT/GRnet,08/10/09,7/6/2016,83.212.4.0/26,2001:648:2ffc:2101::/64,native,GRNET,Europe,ATH01
ATH02,GR,,Athens,EETT/GRnet,07/11/11,7/6/2016,83.212.5.128/26,2001:648:2ffc:2102::/64,native,GRNET,Europe,ATH02
ATL01,US,GA,Atlanta,Google,05/04/09,,4.71.254.128/26,2001:1900:3001:C::/64,native,Level3,North America,ATL01
ATL02,US,GA,Atlanta,Equinix,06/17/16,,38.112.151.64/26,2001:550:5B00:1::/64,native,Cogent,North America,ATL02
ATL03,US,GA,Atlanta,Equinix,09/25/14,,64.86.200.192/26,2001:5a0:3b02::/64,native,Tata,North America,ATL03
ATL04,US,GA,Atlanta,Equinix,09/25/14,,173.205.0.192/26,2001:0668:001F:001C::/64,native,GTT,North America,ATL04
ATL05,US,GA,Atlanta,Equinix,01/01/16,,67.106.215.192/26,2610:0018:0111:C002::/64,native,XO,North America,ATL05
BEG01,RS,,Belgrade,Serbian Open eXchange,06/13/14,,188.120.127.0/26,2001:7f8:1e:6::/64,native,Serbian Open eXchange,Europe,BEG01
BKK01,TH,,Bangkok,CAT Telecom,1/28/2015,,61.7.252.0/26,2001:c38:902f::/64,,CAT Telecom,Asia,BKK01
BOG01,CO,,Bogota,RENATA,05/20/14,,190.15.11.0/26,,,Telefonica,South America,BOG01
DEN01,US,CO,Denver,Equinix,11/06/14,,184.105.23.64/26,2001:470:1:250::/64,native,GTT,North America,DEN01
DEN02,US,CO,Denver,Equinix,08/01/15,,4.34.58.0/26,2001:1900:2200:49::/64,,Level3,North America,DEN02
DEN03,US,CO,Denver,Equinix,01/01/16,,65.46.46.128/26,2610:0018:010e:8003::/64,native,XO,North America,DEN03
DEN04,US,CO,Denver,Equinix,11/06/14,,128.177.109.64/26,2001:438:fffd:2c::/64,native,Zayo,North America,DEN04
DFW01,US,TX,Dallas,Google,07/08/09,,38.107.216.0/26,2001:550:2000::/64,native,Cogent,North America,DFW01
DFW02,US,TX,Dallas,Equinix,09/25/14,,64.86.132.64/26,2001:5a0:3f00::/64,native,Tata,North America,DFW02
DFW03,US,TX,Dallas,Equinix,01/05/15,,4.15.35.128/26,2001:1900:2200:44::/64,native,Level3,North America,DFW03
DFW04,US,TX,Dallas,Equinix,01/01/16,,208.177.76.64/26,2610:0018:010E:0002::64,native,XO,North America,DFW04
DFW05,US,TX,Dallas,Equinix,10/01/14,,128.177.163.64/26,2001:438:fffd:30::/64,native,Zayo,North America,DFW05
DUB01,IE,,Dublin,HEAnet,,, 193.1.12.192/26,2001:770:B5::/64,,HEanet,Europe,DUB01
HAM01,DE,,Hamburg,Google,10/19/09,,80.239.142.192/26,2001:2030:0000:0019::/64,native,Telia,Europe,HAM01
HND01,JP,,Tokyo,WIDE,11/28/2011,,203.178.130.192/26,2001:200:0:b801::/64,native,WIDE,Asia,HND01
IAD01,US,VA,Reston,Google,10/12/11,,216.156.197.128/26,2610:18:111:8001::/64,native,XO,North America,IAD01
IAD02,US,VA,Ashburn,Equinix,09/01/14,,38.90.140.128/26,2001:550:200:7::/64,native,Cogent,North America,IAD02
IAD03,US,VA,Ashburn,Equinix,11/17/14,,66.198.10.128/26,2001:5a0:3c03::/64,native,Tata,North America,IAD03
IAD04,US,VA,Ashburn,Equinix,09/25/14,,173.205.4.0/26,2001:0668:001F:0021::/64,native,GTT,North America,IAD04
IAD05,US,VA,Ashburn,Equinix,12/17/14,,4.35.238.192/26,2001:1900:2200:46::/64,native,Level3,North America,IAD05
JNB01,ZA,,Johannesburg,Tenet,2/11/2013,,196.24.45.128/26,2001:4200:fff0:4512::/64,native,Tenet,Africa,JNB01
LAX01,US,CA,Los Angeles,Google,05/14/09,,38.98.51.0/26,2001:550:6800::/64 ,native,Cogent,North America,LAX01
LAX02,US,CA,Los Angeles,Equinix,11/10/14,,63.243.240.64/26,2001:550:A600::/64,native,Tata,North America,LAX02
