Site ID,City,Country,Latitude,Longitude,Metro
yyz01,Toronto,CA,43.6767,-79.6306,"[u'yyz01', u'yyz']"
yyc01,Calgary,CA,51.1315,-114.011,"[u'yyc01', u'yyc']"
yul01,Montreal,CA,45.4576,-73.7497,"[u'yul01', u'yul']"
wlg02,Wellington,NZ,-41.3272,174.805,"[u'wlg02', u'wlg']"
wlg01,Wellington,NZ,-41.3272,174.805,"[u'wlg01', u'wlg']"
vie01,Vienna,AT,48.269,16.4107,"[u'vie01', u'vie']"
tun01,Tunis,TN,36.8516,10.2291,"[u'tun01', u'tun']"
trn01,Turin,IT,45.2008,7.64972,"[u'trn01', u'trn']"
tpe01,Taipei,TW,25.0778,121.224,"[u'tpe01', u'tpe']"
tnr01,Antananarivo,MG,-18.7969,47.4788,"[u'tnr01', u'tnr']"
syd02,Sydney,AU,-33.9461,151.177,"[u'syd02', u'syd']"
syd01,Sydney,AU,-33.9461,151.177,"[u'syd01', u'syd']"
svg01,Stavanger,NO,58.8767,5.63778,"[u'svg01', u'svg']"
sin01,Singapore,SG,1.355,103.988,"[u'sin01', u'sin']"
sea05,Seattle_WA,US,47.4489,-122.309,"[u'sea05', u'sea']"
sea04,Seattle_WA,US,47.4489,-122.309,"[u'sea04', u'sea']"
sea03,Seattle_WA,US,47.4489,-122.309,"[u'sea03', u'sea']"
sea02,Seattle_WA,US,47.4489,-122.309,"[u'sea02', u'sea']"
sea01,Seattle_WA,US,47.4489,-122.309,"[u'sea01', u'sea']"
prg01,Prague,CZ,50.0833,14.4167,"[u'prg01', u'prg']"
par01,Paris,FR,48.8584,2.34901,"[u'par01', u'par']"
ord05,Chicago_IL,US,41.9786,-87.9047,"[u'ord05', u'ord']"
ord04,Chicago_IL,US,41.9786,-87.9047,"[u'ord04', u'ord']"
ord03,Chicago_IL,US,41.9786,-87.9047,"[u'ord03', u'ord']"
ord02,Chicago_IL,US,41.9786,-87.9047,"[u'ord02', u'ord']"
ord01,Chicago_IL,US,41.9786,-87.9047,"[u'ord01', u'ord']"
nuq06,San Francisco Bay Area_CA,US,37.3833,-122.067,"[u'nuq06', u'nuq']"
nuq05,San Francisco Bay Area_CA,US,37.3833,-122.067,"[u'nuq05', u'nuq']"
nuq04,San Francisco Bay Area_CA,US,37.3833,-122.067,"[u'nuq04', u'nuq']"
nuq03,San Francisco Bay Area_CA,US,37.3833,-122.067,"[u'nuq03', u'nuq']"
nuq02,San Francisco Bay Area_CA,US,37.3833,-122.067,"[u'nuq02', u'nuq']"
nuq01,San Francisco Bay Area_CA,US,37.3833,-122.067,"[u'nuq01', u'nuq']"
nbo01,Nairobi,KE,-1.31917,36.9258,"[u'nbo01', u'nbo']"
mnl01,Manila,PH,14.5086,121.019,"[u'mnl01', u'mnl']"
mil01,Milan,IT,45.464,9.1916,"[u'mil01', u'mil']"
mia05,Miami_FL,US,25.7833,-80.2667,"[u'mia05', u'mia']"
mia04,Miami_FL,US,25.7833,-80.2667,"[u'mia04', u'mia']"
mia03,Miami_FL,US,25.7833,-80.2667,"[u'mia03', u'mia']"
mia02,Miami_FL,US,25.7833,-80.2667,"[u'mia02', u'mia']"
mia01,Miami_FL,US,25.7833,-80.2667,"[u'mia01', u'mia']"
mad01,Madrid,ES,40.4667,-3.56667,"[u'mad01', u'mad']"
los01,Lagos,NG,6.5821,3.3211,"[u'los01', u'los']"
lju01,Ljubljana,SI,46.2236,14.4575,"[u'lju01', u'lju']"
lhr01,London,GB,51.4697,-0.451389,"[u'lhr01', u'lhr']"
lga07,New York_NY,US,40.7667,-73.8667,"[u'lga07', u'lga']"
lga06,New York_NY,US,40.7667,-73.8667,"[u'lga06', u'lga']"
lga05,New York_NY,US,40.7667,-73.8667,"[u'lga05', u'lga']"
lga04,New York_NY,US,40.7667,-73.8667,"[u'lga04', u'lga']"
lga03,New York_NY,US,40.7667,-73.8667,"[u'lga03', u'lga']"
lga02,New York_NY,US,40.7667,-73.8667,"[u'lga02', u'lga']"
lga01,New York_NY,US,40.7667,-73.8667,"[u'lga01', u'lga']"
lca01,Larnaca,CY,34.8809,33.626,"[u'lca01', u'lca']"
lba01,Leeds,GB,53.8658,-1.66056,"[u'lba01', u'lba']"
lax05,Los Angeles_CA,US,33.9425,-118.407,"[u'lax05', u'lax']"
lax04,Los Angeles_CA,US,33.9425,-118.407,"[u'lax04', u'lax']"
lax03,Los Angeles_CA,US,33.9425,-118.407,"[u'lax03', u'lax']"
lax02,Los Angeles_CA,US,33.9425,-118.407,"[u'lax02', u'lax']"
lax01,Los Angeles_CA,US,33.9425,-118.407,"[u'lax01', u'lax']"
jnb01,Johannesburg,ZA,-26.2035,28.1335,"[u'jnb01', u'jnb']"
iad05,Washington_DC,US,38.9444,-77.4558,"[u'iad05', u'iad']"
iad04,Washington_DC,US,38.9444,-77.4558,"[u'iad04', u'iad']"
iad03,Washington_DC,US,38.9444,-77.4558,"[u'iad03', u'iad']"
